step,eval_envs/return/close_jar,eval_envs/length/close_jar,eval_envs/total_transitions/close_jar,eval_envs/return/open_drawer,eval_envs/length/open_drawer,eval_envs/total_transitions/open_drawer,eval_envs/return/sweep_to_dustpan_of_size,eval_envs/length/sweep_to_dustpan_of_size,eval_envs/total_transitions/sweep_to_dustpan_of_size,eval_envs/return/meat_off_grill,eval_envs/length/meat_off_grill,eval_envs/total_transitions/meat_off_grill,eval_envs/return/turn_tap,eval_envs/length/turn_tap,eval_envs/total_transitions/turn_tap,eval_envs/return/slide_block_to_color_target,eval_envs/length/slide_block_to_color_target,eval_envs/total_transitions/slide_block_to_color_target,eval_envs/return/put_item_in_drawer,eval_envs/length/put_item_in_drawer,eval_envs/total_transitions/put_item_in_drawer,eval_envs/return/reach_and_drag,eval_envs/length/reach_and_drag,eval_envs/total_transitions/reach_and_drag,eval_envs/return/push_buttons,eval_envs/length/push_buttons,eval_envs/total_transitions/push_buttons,eval_envs/return/stack_blocks,eval_envs/length/stack_blocks,eval_envs/total_transitions/stack_blocks
50000,24.0,20.52,513,68.0,4.28,620,24.0,20.2,1125,12.0,21.96,1674,32.0,15.96,2073,16.0,22.12,2626,0.0,14.76,2995,20.0,21.16,3524,12.0,22.36,4083,4.0,23.56,4672
30000,12.0,22.88,572,72.0,7.28,754,0.0,25.0,1379,36.0,17.6,1819,24.0,19.96,2318,16.0,22.64,2884,0.0,18.56,3348,20.0,21.68,3890,28.0,19.44,4376,0.0,21.48,4913
40000,12.0,22.8,570,60.0,12.84,891,20.0,21.44,1427,24.0,20.44,1938,32.0,13.12,2266,4.0,23.8,2861,0.0,21.28,3393,16.0,22.0,3943,8.0,23.24,4524,0.0,17.2,4954
20000,20.0,21.52,538,48.0,16.68,955,0.0,25.0,1580,12.0,21.64,2121,48.0,10.48,2383,8.0,23.76,2977,0.0,24.52,3590,0.0,22.0,4140,16.0,21.8,4685,0.0,21.76,5229
10000,0.0,23.8,595,40.0,15.12,973,0.0,20.12,1476,0.0,23.08,2053,8.0,12.76,2372,4.0,23.32,2955,0.0,18.12,3408,0.0,23.44,3994,8.0,23.84,4590,0.0,22.76,5159
80000,16.0,22.16,554,56.0,10.96,828,56.0,15.0,1203,56.0,14.44,1564,56.0,11.72,1857,24.0,19.72,2350,0.0,24.92,2973,68.0,13.04,3299,16.0,21.8,3844,4.0,25.0,4469
90000,32.0,19.4,485,88.0,5.96,634,52.0,17.72,1077,68.0,12.24,1383,40.0,16.48,1795,24.0,20.04,2296,4.0,21.48,2833,68.0,12.52,3146,16.0,21.76,3690,8.0,24.28,4297
60000,24.0,20.88,522,80.0,8.32,730,40.0,18.52,1193,48.0,17.04,1619,28.0,17.36,2053,20.0,21.24,2584,0.0,20.56,3098,72.0,13.8,3443,12.0,22.72,4011,0.0,25.0,4636
100000,12.0,22.92,573,80.0,6.6,738,28.0,13.0,1063,68.0,12.12,1366,52.0,13.72,1709,16.0,20.84,2230,8.0,22.44,2791,20.0,21.76,3335,20.0,21.12,3863,4.0,24.64,4479
70000,32.0,19.4,485,72.0,6.04,636,48.0,15.0,1011,44.0,17.64,1452,40.0,12.6,1767,24.0,18.76,2236,0.0,23.64,2827,20.0,20.88,3349,16.0,21.64,3890,8.0,23.48,4477
